order_id,customer_name,email,phone,order_date,product,quantity,price,status,region,notes
1020.0,Émilie François,emilie@email.fr,+33-1-2345,31/01/2024,Widget B,2.0,49.99,completed,international,unicode chars
1021.0,李明,liming@email.cn,+86-123-4567,2024-02-01,Widget A,1.0,29.99,shipped,asia,non-latin chars
1022.0,José García,jose@email.es,555-1234,01-02-2024,Widget C,3.0,49.99,pending,spain,"Customer called, urgent"
1023.0,John Smith,null@email.com,555-1111,2024-02-02,Widget A,1.0,29.99,completed,north,nulls as strings
1024.0,John Smith,na@email.com,555-1234,2024-02-03,Widget B,1.0,49.99,completed,north,N/A values
1025.0,TBD,tbd@email.com,TBD,2024-02-04,Widget C,,79.99000000000001,tbd,tbd,TBD everywhere
1026.0,--,dash@email.com,--,2024-02-05,Widget A,,29.99,--,--,dashes as nulls
1027.0,Unknown,unknown@email.com,000-0000,2024-02-06,Widget B,,49.99,pending,unknown,question mark
1028.0,Test User,test@test.test,123,2024-02-07,Widget A,6.9375,0.01,completed,test,extreme values
1029.0,A,a@b.c,1,2024-02-08,X,1.0,79.99000000000001,x,z,minimal data
1030.0,VeryLongNameThatGoesOnAndOnAndNeverSeemsToEndBecauseItJustKeepsGoingAndGoing,toolong@verylongemailaddressthatprobablyshouldnotexist.com,555-9999,2024-02-09,Widget With Spaces,6.9375,29.99,completed,north,very long values
1031.0,,whitespace@email.com,555-0000,2024-02-10,Widget A,1.0,29.99,completed,north,empty name (spaces)
1032.0,John,john@email.com,555-1234,2024-01-15,Widget A,1.0,29.99,completed,north,"Customer called, urgent"
,multiline@email.com,,2024-02-11,Widget B,2,6.9375,,south,newline in name,"Customer called, urgent"
1033.0,Tab	Name,tab@email.com,555-1313,2024-02-12,Widget C,1.0,79.99000000000001,pending,east,tab character
1034.0,"Quoted, Name",quoted@email.com,555-1414,2024-02-13,Widget A,3.0,29.99,completed,west,comma in quotes
1035.0,O'Brien,obrien@email.com,555-1515,2024-02-14,Widget B,2.0,49.99,shipped,north,apostrophe
1036.0,Same,same@email.com,555-1616,2024-02-15,Widget A,5.0,29.99,completed,north,"Customer called, urgent"
1036.0,Same,same@email.com,555-1616,2024-02-15,Widget A,5.0,29.99,completed,north,exact duplicate ID
1037.0,Mixed,mixed@email.com,555-1717,02/15/2024,Widget B,3.5,49.99,completed,south,decimal quantity
1038.0,DateTest,date@email.com,555-1818,15-Feb-2024,Widget C,2.0,79.99000000000001,pending,east,month name format
1039.0,TimeIncluded,time@email.com,555-1919,2024-02-16 14:30:00,Widget A,1.0,29.99,completed,west,datetime not just date
1040.0,Future Order,future@email.com,555-2020,2025-12-31,Widget B,6.9375,49.99,pending,north,future date
1041.0,Ancient Order,ancient@email.com,555-2121,1990-01-01,Widget A,1.0,29.99,completed,south,very old date
1042.0,Bad Email Format,,555-2222,2024-02-17,Widget C,2.0,79.99000000000001,shipped,east,invalid email
1043.0,Multiple@@Signs,multi@@email.com,555-2323,2024-02-18,Widget A,1.0,29.99,completed,north,"Customer called, urgent"
1044.0,No Domain,,555-2424,2024-02-19,Widget B,3.0,49.99,pending,west,"Customer called, urgent"
1045.0,Trailing Comma,trailing@email.com,555-2525,2024-02-20,Widget A,1.0,29.99,completed,south,"Customer called, urgent"
1036.0,John Smith,john@email.com,555-1234,2024-01-15,Widget A,1.0,29.99,completed,north,"Customer called, urgent"
1046.0,After Blank Row,blank@email.com,555-2626,2024-02-21,Widget B,2.0,49.99,completed,north,row after blank
