customer_id,first_name,last_name,email,phone,company,city,account_value,last_active,num_accounts,growth_rate,status
CUST-00015,Joshua,Hernandez,joshua.hernandez@company.com,+1-244-843-9787,AI Innovations,"Atlanta, GA",35964.89,2025-04-12,5,-9.9,inactive
CUST-00016,Michael,Thomas,michael.thomas@company.com,+1-772-671-8337,Network Solutions,"Seattle, WA",26537.63,2025-09-29,1,-1.0,pending
CUST-00017,Michael,Lopez,michael.lopez@yahoo.com,+1-270-512-2202,Web Services LLC,"Nashville, TN",61658.55,2025-08-19,1,20.0,churned
CUST-00018,Christopher,Smith,christopher.smith@business.net,+1-495-980-8979,Data Systems Inc,"Austin, TX",80771.82,2025-08-17,1,16.8,pending
CUST-00019,Michael,Thomas,michael.thomas@business.net,+1-960-858-9517,Web Services LLC,"Nashville, TN",27564.24,2025-07-12,4,17.4,inactive
CUST-00020,Jessica,Martin,jessica.martin@business.net,+1-237-485-9184,Network Solutions,"Boston, MA",33342.71,2025-06-04,2,-5.6,pending
CUST-00021,Stephanie,Taylor,stephanie.taylor@business.net,+1-598-225-1927,Digital Media Co,"Austin, TX",51994.14,2025-09-04,3,-2.3,inactive
CUST-00022,Christopher,Smith,christopher.smith@business.net,+1-392-718-8076,,"San Diego, CA",31726.34,2025-06-05,4,-3.7,churned
CUST-00023,Joshua,Miller,joshua.miller@company.com,+1-439-759-2534,Cloud Solutions,"Denver, CO",33770.64,2025-07-30,2,14.6,pending
CUST-00024,David,Taylor,david.taylor@gmail.com,+1-824-314-1611,Digital Media Co,"New York, NY",54208.51,2025-05-22,3,2.4,active
CUST-00025,Christopher,Jackson,christopher.jackson@gmail.com,+1-729-318-9405,Tech Corp,"Los Angeles, CA",88480.21,2025-07-31,3,-2.4,churned
CUST-00026,Jessica,Anderson,jessica.anderson@outlook.com,+1-212-461-6744,Analytics Group,"Austin, TX",7036.58,2025-07-11,3,13.4,pending
CUST-00027,Matthew,Wilson,matthew.wilson@yahoo.com,+1-571-219-4511,Tech Corp,"Miami, FL",63940.6,2025-06-17,5,19.5,churned
CUST-00028,Sarah,Hernandez,sarah.hernandez@outlook.com,+1-393-515-7561,Web Services LLC,"San Diego, CA",38301.02,2025-05-26,5,-5.6,churned
CUST-00029,Emily,Wilson,emily.wilson@yahoo.com,+1-814-593-7910,Platform Inc,"Atlanta, GA",20043.35,2025-08-16,1,2.5,pending
CUST-00030,Robert,Johnson,robert.johnson@company.com,,Network Solutions,"Nashville, TN",11629.95,2025-10-06,4,13.5,churned
CUST-00031,Ashley,Johnson,ashley.johnson@business.net,+1-845-671-1792,Data Systems Inc,"San Diego, CA",8590.34,2025-05-10,3,8.5,churned
CUST-00032,Stephanie,Miller,,+1-307-308-1185,Digital Media Co,"Charlotte, NC",59421.88,2025-10-01,3,9.4,active
CUST-00033,Ashley,Miller,ashley.miller@company.com,+1-536-413-7251,Web Services LLC,"Phoenix, AZ",22756.18,2025-09-05,3,5.1,inactive
CUST-00034,Matthew,Smith,matthew.smith@company.com,+1-306-990-7354,AI Innovations,"Atlanta, GA",72164.72,2025-08-13,4,-6.1,pending
CUST-00035,Joshua,Thomas,joshua.thomas@company.com,,Tech Corp,"Los Angeles, CA",84094.83,2025-06-16,2,7.3,pending
CUST-00036,Sarah,Jones,sarah.jones@gmail.com,+1-541-755-3775,Cloud Solutions,"New York, NY",36945.77,2025-05-25,3,-8.3,active
CUST-00037,Daniel,Williams,daniel.williams@yahoo.com,+1-848-172-3200,Network Solutions,"San Diego, CA",23003.37,2025-08-01,2,18.8,inactive
CUST-00038,Jennifer,Anderson,jennifer.anderson@company.com,+1-647-588-2566,Data Systems Inc,"Denver, CO",81384.59,2025-07-24,2,23.7,churned
CUST-00039,Amanda,Jackson,amanda.jackson@outlook.com,+1-543-984-6033,Data Systems Inc,"Miami, FL",46539.83,2025-08-07,4,19.1,active
CUST-00040,Lisa,Gonzalez,lisa.gonzalez@company.com,+1-890-539-6311,Digital Media Co,"Austin, TX",53320.97,2025-10-05,2,7.3,active
CUST-00041,Amanda,Smith,amanda.smith@business.net,+1-725-195-4502,Digital Media Co,"Chicago, IL",99205.91,2025-04-26,4,-8.7,churned
CUST-00042,Sarah,Anderson,sarah.anderson@outlook.com,+1-420-945-3909,Analytics Group,"Miami, FL",84962.49,2025-07-15,1,7.6,inactive
CUST-00043,Nicole,Jackson,nicole.jackson@yahoo.com,+1-803-382-7601,Network Solutions,"Nashville, TN",76799.37,2025-08-25,1,6.4,active
CUST-00044,Joshua,Anderson,joshua.anderson@yahoo.com,+1-949-222-5852,AI Innovations,"Miami, FL",4349.66,2025-05-06,4,-3.1,churned
CUST-00045,Jennifer,Taylor,jennifer.taylor@gmail.com,+1-718-740-3720,Network Solutions,"Atlanta, GA",55825.83,2025-05-31,1,16.8,churned
CUST-00046,Amanda,Moore,amanda.moore@gmail.com,+1-958-578-6790,Platform Inc,"Portland, OR",37029.76,2025-07-05,4,21.7,inactive
CUST-00047,William,Martinez,william.martinez@company.com,+1-469-163-8820,AI Innovations,"Seattle, WA",22948.45,2025-09-24,2,-3.7,churned
CUST-00048,Robert,Wilson,,+1-415-789-5836,,"Charlotte, NC",58607.22,2025-04-12,5,2.8,churned
CUST-00049,Andrew,Davis,andrew.davis@business.net,+1-799-204-3844,Network Solutions,"Portland, OR",10144.86,2025-09-30,2,12.1,active
CUST-00050,Jennifer,Thomas,jennifer.thomas@company.com,+1-361-759-8908,Network Solutions,"San Diego, CA",5538.57,2025-09-07,4,13.5,pending
CUST-00051,Andrew,Lopez,andrew.lopez@company.com,+1-535-867-5270,Cloud Solutions,"Portland, OR",84157.66,2025-07-16,5,1.9,pending
CUST-00052,Daniel,Miller,daniel.miller@gmail.com,+1-875-511-5206,Digital Media Co,"Chicago, IL",82379.62,2025-07-13,1,11.2,pending
CUST-00053,Stephanie,Davis,stephanie.davis@company.com,+1-380-288-7640,Software Partners,"Seattle, WA",31987.41,2025-08-20,2,-7.2,pending
CUST-00054,David,Brown,david.brown@business.net,+1-540-350-3036,Network Solutions,"Phoenix, AZ",5366.94,2025-05-13,2,11.3,inactive
CUST-00055,Joshua,Martin,joshua.martin@outlook.com,+1-618-213-9450,Platform Inc,"Charlotte, NC",33148.94,2025-08-07,5,-1.8,pending
CUST-00056,Joshua,Williams,joshua.williams@company.com,+1-660-682-7580,Data Systems Inc,"Phoenix, AZ",91785.29,2025-08-20,1,16.2,active
CUST-00057,Emily,Rodriguez,emily.rodriguez@outlook.com,+1-506-414-7767,Data Systems Inc,"Charlotte, NC",59505.64,2025-06-13,4,12.4,pending
CUST-00058,Matthew,Hernandez,,+1-217-225-8811,Digital Media Co,"Phoenix, AZ",91208.34,2025-07-28,2,5.6,pending
CUST-00059,Jennifer,Jones,jennifer.jones@business.net,+1-928-180-9243,AI Innovations,"Charlotte, NC",80512.19,2025-05-10,3,5.5,pending
CUST-00060,Nicole,Williams,nicole.williams@yahoo.com,+1-681-110-9984,Software Partners,"San Diego, CA",76081.07,2025-07-16,3,19.8,active
CUST-00061,Nicole,Johnson,nicole.johnson@gmail.com,+1-443-142-8290,Digital Media Co,"Los Angeles, CA",82475.1,2025-06-16,3,-6.2,churned
CUST-00062,Matthew,Rodriguez,matthew.rodriguez@yahoo.com,+1-661-448-3233,Software Partners,"Atlanta, GA",91434.91,2025-09-29,4,-1.7,inactive
CUST-00063,Ashley,Anderson,ashley.anderson@business.net,+1-675-667-7841,Data Systems Inc,"Nashville, TN",63034.24,2025-06-30,5,-8.9,active
CUST-00064,Jessica,Johnson,jessica.johnson@outlook.com,+1-870-720-2639,Analytics Group,"San Diego, CA",42821.53,2025-07-08,2,-1.2,churned
CUST-00065,Matthew,Anderson,matthew.anderson@business.net,+1-811-492-9781,Software Partners,"Austin, TX",91747.47,2025-08-16,5,10.8,churned
CUST-00066,Amanda,Wilson,amanda.wilson@business.net,+1-340-840-9418,Analytics Group,"Portland, OR",77093.96,2025-06-02,1,-6.7,inactive
CUST-00067,Joshua,Jackson,joshua.jackson@gmail.com,+1-336-467-1755,AI Innovations,"Atlanta, GA",51885.89,2025-07-01,1,9.6,active
CUST-00068,Christopher,Gonzalez,christopher.gonzalez@yahoo.com,+1-424-274-3338,Cloud Solutions,"Atlanta, GA",32199.42,2025-05-27,5,-6.9,pending
CUST-00069,Matthew,Williams,matthew.williams@gmail.com,+1-544-152-2906,Web Services LLC,"Boston, MA",76942.17,2025-08-01,5,22.9,churned
CUST-00070,Stephanie,Taylor,stephanie.taylor@company.com,+1-556-527-6034,Cloud Solutions,"Chicago, IL",57579.17,2025-06-16,5,5.6,pending
CUST-00071,Daniel,Taylor,daniel.taylor@outlook.com,+1-207-992-7400,Cloud Solutions,"Atlanta, GA",34885.68,2025-07-14,1,18.1,active
CUST-00072,Amanda,Hernandez,amanda.hernandez@gmail.com,+1-766-556-6628,Digital Media Co,"Boston, MA",94903.53,2025-04-16,5,18.2,inactive
CUST-00073,Nicole,Moore,nicole.moore@gmail.com,+1-893-322-4575,Analytics Group,"Nashville, TN",69805.64,2025-08-18,3,-8.2,churned
CUST-00074,Andrew,Lopez,andrew.lopez@company.com,+1-798-472-6084,Software Partners,"Portland, OR",74258.3,2025-09-07,4,23.4,inactive
CUST-00075,James,Jones,james.jones@business.net,,Software Partners,"Austin, TX",78906.54,2025-09-04,5,10.9,active
CUST-00076,Michelle,Jones,michelle.jones@outlook.com,+1-717-682-3448,,"Miami, FL",91713.91,2025-04-13,1,11.3,inactive
CUST-00077,David,Moore,david.moore@company.com,,Software Partners,"Portland, OR",82263.7,2025-06-01,5,7.5,churned
CUST-00078,Michelle,Rodriguez,michelle.rodriguez@company.com,+1-573-243-8820,Data Systems Inc,"Portland, OR",23443.66,2025-08-10,5,19.8,inactive
CUST-00079,Robert,Jackson,robert.jackson@gmail.com,+1-811-642-9260,Analytics Group,"Charlotte, NC",74594.96,2025-06-21,1,-9.9,inactive
CUST-00080,David,Smith,david.smith@yahoo.com,+1-359-623-7190,Analytics Group,"Atlanta, GA",72789.58,2025-07-16,3,12.6,active
CUST-00081,Michelle,Jones,michelle.jones@gmail.com,+1-997-643-8716,AI Innovations,"Austin, TX",3806.49,2025-05-21,1,24.7,inactive
CUST-00082,Matthew,Jones,matthew.jones@gmail.com,+1-646-933-1151,AI Innovations,"Boston, MA",52948.69,2025-05-11,1,19.6,inactive
CUST-00083,Jennifer,Moore,jennifer.moore@yahoo.com,+1-919-117-6410,Digital Media Co,"Nashville, TN",39692.01,2025-07-03,5,-6.4,inactive
CUST-00084,Joshua,Taylor,joshua.taylor@company.com,+1-718-307-4266,Data Systems Inc,"Miami, FL",86575.55,2025-05-01,1,-1.4,pending
CUST-00085,Joshua,Gonzalez,joshua.gonzalez@outlook.com,,Platform Inc,"Portland, OR",62537.78,2025-09-25,4,4.9,inactive
CUST-00086,Amanda,Jackson,amanda.jackson@yahoo.com,+1-993-555-3511,Network Solutions,"Portland, OR",72804.97,2025-07-05,4,16.4,inactive
CUST-00087,Jessica,Hernandez,jessica.hernandez@gmail.com,+1-405-766-1459,Tech Corp,"Atlanta, GA",17570.71,2025-05-22,5,13.8,inactive
CUST-00088,Daniel,Moore,daniel.moore@outlook.com,+1-317-685-4912,Platform Inc,"Chicago, IL",26638.06,2025-05-13,1,-0.1,inactive
CUST-00089,Matthew,Smith,matthew.smith@gmail.com,+1-684-720-5620,AI Innovations,"Phoenix, AZ",8710.16,2025-10-05,4,-6.2,pending
CUST-00090,Jessica,Johnson,jessica.johnson@gmail.com,+1-325-995-2088,Data Systems Inc,"Seattle, WA",45802.09,2025-07-18,2,24.2,pending
CUST-00091,William,Jackson,william.jackson@outlook.com,+1-887-529-4415,Platform Inc,"Phoenix, AZ",66909.99,2025-06-10,2,-7.0,active
CUST-00092,Jessica,Williams,,+1-595-282-1767,Data Systems Inc,"Charlotte, NC",52068.48,2025-09-09,1,23.1,inactive
CUST-00093,Andrew,Garcia,andrew.garcia@outlook.com,+1-873-812-3454,Data Systems Inc,"Boston, MA",26725.71,2025-07-29,3,-1.1,churned
CUST-00094,Jennifer,Williams,jennifer.williams@gmail.com,+1-739-922-6127,AI Innovations,"New York, NY",9260.47,2025-06-09,5,17.2,pending
CUST-00095,Matthew,Lopez,matthew.lopez@company.com,+1-764-990-1748,Data Systems Inc,"Los Angeles, CA",55332.83,2025-08-02,2,6.1,active
CUST-00096,Daniel,Garcia,daniel.garcia@gmail.com,+1-910-931-3136,Platform Inc,"Charlotte, NC",9550.27,2025-09-22,1,12.6,pending
CUST-00097,Lisa,Hernandez,lisa.hernandez@outlook.com,+1-297-255-2825,Tech Corp,"Nashville, TN",89062.17,2025-07-30,5,22.1,churned
CUST-00098,Joshua,Taylor,joshua.taylor@company.com,+1-283-944-7783,Network Solutions,"Seattle, WA",7136.35,2025-08-16,5,24.5,churned
CUST-00099,James,Thomas,james.thomas@gmail.com,+1-850-898-2956,Network Solutions,"Boston, MA",58490.89,2025-08-29,1,23.7,active
CUST-00100,Michelle,Lopez,michelle.lopez@business.net,+1-307-911-8993,Platform Inc,"Chicago, IL",98948.55,2025-07-23,4,10.5,pending
CUST-00101,Jessica,Thomas,jessica.thomas@company.com,+1-218-934-2628,Analytics Group,"Nashville, TN",15532.86,2025-06-04,2,18.1,pending
CUST-00102,James,Johnson,james.johnson@company.com,+1-698-701-1848,Analytics Group,"Chicago, IL",1052.39,2025-07-31,2,20.4,inactive
CUST-00103,David,Brown,david.brown@company.com,+1-212-686-3097,Analytics Group,"Miami, FL",82357.4,2025-04-30,5,6.1,active
CUST-00104,David,Martin,david.martin@outlook.com,+1-571-379-6243,AI Innovations,"Nashville, TN",63329.4,2025-06-09,3,7.6,churned
CUST-00105,Stephanie,Martin,stephanie.martin@gmail.com,+1-467-331-7052,Network Solutions,"New York, NY",59030.68,2025-05-02,3,-3.7,inactive
CUST-00106,Andrew,Wilson,andrew.wilson@yahoo.com,+1-760-352-1979,Software Partners,"Charlotte, NC",16453.97,2025-09-18,2,24.2,churned
CUST-00107,Michelle,Jones,michelle.jones@yahoo.com,+1-725-596-4955,Data Systems Inc,"Miami, FL",86482.6,2025-07-15,5,11.8,inactive
CUST-00108,Emily,Wilson,emily.wilson@business.net,+1-392-223-1437,Cloud Solutions,"Atlanta, GA",93033.89,2025-07-08,3,-9.1,churned
CUST-00109,Ashley,Smith,ashley.smith@yahoo.com,+1-574-880-6292,Web Services LLC,"San Diego, CA",19861.16,2025-09-15,3,0.7,churned
CUST-00110,Michelle,Garcia,michelle.garcia@gmail.com,+1-636-152-9506,Cloud Solutions,"Chicago, IL",80012.63,2025-10-08,2,20.4,inactive
CUST-00111,Sarah,Gonzalez,sarah.gonzalez@company.com,+1-424-101-2189,Data Systems Inc,"Los Angeles, CA",50101.66,2025-08-14,2,12.4,churned
CUST-00112,Michelle,Davis,michelle.davis@outlook.com,,Software Partners,"Seattle, WA",71495.96,2025-06-08,5,-2.7,active
CUST-00113,Amanda,Jones,amanda.jones@business.net,+1-243-663-3087,Tech Corp,"Nashville, TN",13011.05,2025-06-15,2,-4.9,inactive
CUST-00114,Lisa,Rodriguez,lisa.rodriguez@gmail.com,+1-298-311-5970,Web Services LLC,"Miami, FL",79493.42,2025-06-20,4,-6.9,inactive
CUST-00115,Matthew,Gonzalez,matthew.gonzalez@yahoo.com,+1-218-781-3071,Cloud Solutions,"Atlanta, GA",91654.85,2025-04-28,2,9.2,active
CUST-00116,Lisa,Hernandez,lisa.hernandez@gmail.com,,Analytics Group,"Denver, CO",69371.09,2025-08-12,4,10.6,churned
CUST-00117,Daniel,Thomas,daniel.thomas@yahoo.com,+1-818-926-1281,Digital Media Co,"New York, NY",48568.01,2025-09-21,3,16.2,inactive
CUST-00118,Daniel,Jones,daniel.jones@yahoo.com,+1-491-371-3203,Network Solutions,"Atlanta, GA",32789.84,2025-08-23,1,15.4,churned
CUST-00119,Michelle,Hernandez,michelle.hernandez@business.net,+1-330-159-1951,Platform Inc,"San Diego, CA",59700.44,2025-09-14,4,-7.5,active
CUST-00120,James,Garcia,james.garcia@business.net,+1-549-388-3142,Platform Inc,"Phoenix, AZ",60623.11,2025-06-07,3,5.4,active
CUST-00121,Sarah,Garcia,sarah.garcia@company.com,+1-689-463-4454,Web Services LLC,"Seattle, WA",97202.41,2025-06-11,5,-3.4,inactive
CUST-00122,Sarah,Davis,,+1-503-469-7205,Network Solutions,"New York, NY",75680.61,2025-07-17,3,-4.6,pending
CUST-00123,James,Anderson,james.anderson@yahoo.com,+1-347-131-4230,Platform Inc,"Charlotte, NC",5023.44,2025-05-28,5,-6.8,churned
CUST-00124,Michelle,Davis,michelle.davis@gmail.com,+1-710-479-4429,AI Innovations,"San Diego, CA",74919.46,2025-08-21,1,10.0,churned
CUST-00125,Christopher,Taylor,christopher.taylor@yahoo.com,,Analytics Group,"Boston, MA",57786.28,2025-06-15,2,-7.8,pending
CUST-00126,Andrew,Hernandez,andrew.hernandez@outlook.com,+1-600-924-3670,AI Innovations,"Nashville, TN",40665.64,2025-07-30,4,-6.4,pending
CUST-00127,David,Wilson,david.wilson@outlook.com,+1-206-449-4912,Software Partners,"Denver, CO",67356.01,2025-07-13,5,2.7,inactive
CUST-00128,David,Smith,david.smith@outlook.com,+1-991-168-6510,Platform Inc,"Atlanta, GA",9112.21,2025-05-13,5,-1.3,churned
CUST-00129,Ashley,Garcia,ashley.garcia@business.net,+1-745-206-2527,Data Systems Inc,"Boston, MA",49419.8,2025-06-20,2,16.9,active
CUST-00130,Michael,Brown,michael.brown@company.com,+1-274-413-1611,AI Innovations,"Atlanta, GA",75372.36,2025-09-17,4,4.7,churned
CUST-00131,Amanda,Taylor,amanda.taylor@business.net,+1-458-526-5088,Software Partners,"Chicago, IL",3421.48,2025-06-09,2,23.5,churned
CUST-00132,Lisa,Johnson,lisa.johnson@outlook.com,+1-819-885-4371,Analytics Group,"Los Angeles, CA",7061.93,2025-07-01,5,-3.5,inactive
CUST-00133,Joshua,Garcia,joshua.garcia@yahoo.com,+1-782-808-3958,Platform Inc,"New York, NY",5345.94,2025-07-19,5,18.2,inactive
CUST-00134,Stephanie,Johnson,stephanie.johnson@yahoo.com,+1-206-581-2724,Platform Inc,"Miami, FL",48990.41,2025-07-04,5,-4.0,inactive
CUST-00135,Amanda,Gonzalez,amanda.gonzalez@yahoo.com,+1-586-890-3767,Web Services LLC,"Boston, MA",15486.16,2025-05-03,2,-6.2,inactive
CUST-00136,Andrew,Hernandez,andrew.hernandez@gmail.com,+1-745-661-2923,Tech Corp,"New York, NY",47599.79,2025-05-10,3,20.6,active
CUST-00137,Sarah,Smith,sarah.smith@gmail.com,+1-565-533-9517,Analytics Group,"Denver, CO",21088.03,2025-07-20,1,0.8,churned
CUST-00138,Sarah,Martinez,sarah.martinez@company.com,+1-567-762-1135,Web Services LLC,"Los Angeles, CA",54337.38,2025-06-24,4,22.0,churned
CUST-00139,Jennifer,Taylor,jennifer.taylor@business.net,+1-849-110-7684,Analytics Group,"Phoenix, AZ",76746.87,2025-05-14,3,9.6,pending
CUST-00140,Michael,Smith,michael.smith@company.com,+1-225-586-1355,Web Services LLC,"Denver, CO",98396.88,2025-10-08,4,23.8,inactive
CUST-00141,Joshua,Jackson,joshua.jackson@company.com,+1-996-334-3247,Data Systems Inc,"Nashville, TN",28305.3,2025-06-14,2,12.3,pending
CUST-00142,Jennifer,Jackson,jennifer.jackson@gmail.com,+1-940-254-9855,Platform Inc,"Austin, TX",39489.43,2025-07-10,3,-9.7,inactive
CUST-00143,Stephanie,Gonzalez,stephanie.gonzalez@yahoo.com,+1-861-897-6968,Digital Media Co,"New York, NY",63840.0,2025-06-26,3,5.6,churned
CUST-00144,Robert,Jones,robert.jones@gmail.com,+1-232-696-3430,Cloud Solutions,"Denver, CO",94919.44,2025-07-08,1,11.6,inactive
CUST-00145,Joshua,Davis,joshua.davis@company.com,,Digital Media Co,"Atlanta, GA",64220.13,2025-08-23,4,10.8,churned
CUST-00146,Christopher,Moore,christopher.moore@business.net,+1-517-885-5452,Analytics Group,"Charlotte, NC",94305.28,2025-06-01,3,24.6,active
CUST-00147,Lisa,Thomas,lisa.thomas@business.net,+1-573-759-3821,Tech Corp,"Nashville, TN",39103.91,2025-07-12,2,19.7,churned
CUST-00148,David,Wilson,david.wilson@gmail.com,+1-308-118-8182,Cloud Solutions,"Los Angeles, CA",79739.93,2025-09-03,1,-5.5,inactive
CUST-00149,Emily,Garcia,emily.garcia@gmail.com,+1-335-476-3568,Digital Media Co,"Denver, CO",79136.1,2025-05-06,3,2.8,active
CUST-00150,Jessica,Williams,jessica.williams@yahoo.com,+1-755-809-3737,Cloud Solutions,"Los Angeles, CA",12369.48,2025-05-28,1,16.1,active
CUST-00151,Michelle,Taylor,michelle.taylor@business.net,+1-314-454-1012,Software Partners,"New York, NY",7221.25,2025-09-11,3,7.7,active
CUST-00152,James,Wilson,james.wilson@outlook.com,+1-867-504-1365,Web Services LLC,"Phoenix, AZ",1596.16,2025-07-29,3,12.8,inactive
CUST-00153,Amanda,Anderson,amanda.anderson@company.com,+1-883-174-9061,Network Solutions,"Austin, TX",67985.44,2025-07-08,4,16.6,active
CUST-00154,Sarah,Brown,sarah.brown@business.net,+1-589-377-1702,Web Services LLC,"Seattle, WA",96879.96,2025-05-09,5,11.4,active
CUST-00155,Emily,Moore,emily.moore@business.net,+1-592-398-1039,Platform Inc,"Charlotte, NC",41152.11,2025-08-16,1,20.1,active
CUST-00156,David,Jackson,david.jackson@yahoo.com,+1-991-972-1317,Network Solutions,"Charlotte, NC",16228.89,2025-06-15,2,23.8,active
CUST-00157,Joshua,Jones,joshua.jones@business.net,+1-549-241-5325,AI Innovations,"Chicago, IL",46333.4,2025-08-16,1,18.2,pending
CUST-00158,Jennifer,Martinez,jennifer.martinez@business.net,+1-696-632-6027,Analytics Group,"Austin, TX",55485.3,2025-09-25,3,15.1,inactive
CUST-00159,Andrew,Anderson,andrew.anderson@company.com,+1-956-418-1190,Network Solutions,"San Diego, CA",82650.54,2025-10-08,2,14.6,pending
CUST-00160,Amanda,Hernandez,amanda.hernandez@outlook.com,+1-419-859-5590,Platform Inc,"Phoenix, AZ",12082.09,2025-06-19,5,22.0,inactive
CUST-00161,Jennifer,Smith,jennifer.smith@business.net,+1-983-130-1363,Analytics Group,"Nashville, TN",82265.85,2025-08-30,5,11.4,pending
CUST-00162,Lisa,Brown,lisa.brown@outlook.com,+1-787-881-5279,,"Portland, OR",3198.76,2025-09-04,3,12.0,active
CUST-00163,Michelle,Brown,,+1-458-792-1687,Software Partners,"Portland, OR",83698.62,2025-08-30,1,7.6,inactive
CUST-00164,Amanda,Gonzalez,amanda.gonzalez@gmail.com,+1-589-960-7124,Cloud Solutions,"Atlanta, GA",25829.5,2025-05-03,5,5.7,active
CUST-00165,Stephanie,Davis,stephanie.davis@outlook.com,+1-963-605-5162,Web Services LLC,"San Diego, CA",11981.83,2025-08-20,5,8.8,churned
CUST-00166,Jennifer,Davis,,+1-889-500-9540,Analytics Group,"New York, NY",57287.88,2025-08-01,3,-9.7,inactive
CUST-00167,Amanda,Johnson,amanda.johnson@outlook.com,+1-775-727-8192,Digital Media Co,"Nashville, TN",74251.38,2025-05-13,5,-7.6,pending
CUST-00168,Amanda,Anderson,amanda.anderson@business.net,+1-290-196-2761,Web Services LLC,"New York, NY",13345.12,2025-07-30,2,1.7,churned
CUST-00169,James,Moore,james.moore@gmail.com,+1-512-732-3233,Platform Inc,"Nashville, TN",60065.65,2025-09-28,1,18.3,inactive
CUST-00170,Andrew,Gonzalez,andrew.gonzalez@yahoo.com,,Analytics Group,"Nashville, TN",73830.41,2025-06-11,4,8.7,pending
CUST-00171,Joshua,Miller,joshua.miller@gmail.com,+1-814-296-3234,Data Systems Inc,"Chicago, IL",65855.62,2025-07-15,5,2.3,pending
CUST-00172,Andrew,Anderson,andrew.anderson@outlook.com,+1-526-470-7598,Analytics Group,"Charlotte, NC",73983.34,2025-06-11,4,17.3,churned
CUST-00173,Christopher,Johnson,,+1-953-151-5073,Tech Corp,"Chicago, IL",24040.81,2025-08-24,4,8.8,active
CUST-00174,Lisa,Thomas,lisa.thomas@yahoo.com,+1-817-852-6134,,"Phoenix, AZ",18412.05,2025-07-05,3,8.0,active
CUST-00175,Robert,Williams,robert.williams@outlook.com,+1-674-765-5380,Software Partners,"Charlotte, NC",90535.88,2025-04-18,5,-7.0,churned
CUST-00176,Michael,Garcia,michael.garcia@gmail.com,+1-292-365-7236,,"Nashville, TN",64492.51,2025-09-08,5,18.0,active
CUST-00177,David,Brown,david.brown@yahoo.com,+1-385-905-2987,Tech Corp,"Los Angeles, CA",57454.43,2025-08-03,5,24.6,active
CUST-00178,James,Johnson,james.johnson@outlook.com,+1-950-608-2000,Cloud Solutions,"Seattle, WA",65262.89,2025-07-09,1,23.0,active
CUST-00179,Christopher,Moore,christopher.moore@yahoo.com,+1-767-906-2306,Cloud Solutions,"Portland, OR",79518.97,2025-05-18,5,6.0,churned
CUST-00180,Joshua,Gonzalez,joshua.gonzalez@business.net,+1-258-959-1971,AI Innovations,"San Diego, CA",27111.02,2025-08-09,3,11.6,inactive
CUST-00181,Christopher,Jones,christopher.jones@gmail.com,+1-611-798-5624,AI Innovations,"Charlotte, NC",35128.1,2025-07-11,5,9.7,pending
CUST-00182,Andrew,Rodriguez,andrew.rodriguez@company.com,+1-673-386-5383,,"Boston, MA",26149.88,2025-07-08,5,12.7,inactive
CUST-00183,Lisa,Hernandez,lisa.hernandez@company.com,+1-474-597-1079,Software Partners,"Los Angeles, CA",67563.35,2025-08-09,3,-4.3,pending
